scope,total_questions,answerable_questions,unanswerable_questions,correct_answers,overall_answer_accuracy,document_hit_rate_at_k,mean_document_recall_at_k,mrr,answerable_correct_answers,answerable_answer_accuracy,citation_validity_rate,mean_ragas_faithfulness,mean_ragas_factual_correctness,mean_ragas_context_precision,abstention_accuracy,mean_total_latency_ms,p95_total_latency_ms,mean_rag_total_tokens,total_rag_tokens,chunk_size,chunk_overlap
All questions,40,32,8,0,,0.9375,0.953125,0.3640207882395382,0,,,,,,,25940.31614750129,40392.3788550004,22.6,904,500,75
Hard,21,18,3,0,,0.9444444444444444,0.9722222222222222,0.2959575917909251,0,,,,,,,26087.50684762379,40000.527399999555,22.61904761904762,475,500,75
Medium,19,14,5,0,,0.9285714285714286,0.9285714285714286,0.45153061224489793,0,,,,,,,25777.631689471156,30254.80175999687,22.57894736842105,429,500,75
All questions,40,32,8,0,,0.96875,0.984375,0.39786667325729824,0,,,,,,,26154.25086000323,41048.615655022135,22.6,904,500,120
Hard,21,18,3,0,,0.9444444444444444,0.9722222222222222,0.30546667838334507,0,,,,,,,26381.457119050625,40798.196700023254,22.61904761904762,475,500,120
Medium,19,14,5,0,,1.0,1.0,0.5166666666666667,0,,,,,,,25903.128152635058,28352.38741999196,22.57894736842105,429,500,120
All questions,40,32,8,0,,0.90625,0.9375,0.4038562565906316,0,,,,,,,26858.634762499423,33837.48239000705,22.6,904,500,150
Hard,21,18,3,0,,0.9444444444444444,0.9722222222222222,0.3471002762669429,0,,,,,,,26760.26449047467,33188.04639999871,22.61904761904762,475,500,150
Medium,19,14,5,0,,0.8571428571428571,0.8928571428571429,0.47682823129251706,0,,,,,,,26967.359800000468,34745.98731000731,22.57894736842105,429,500,150
All questions,40,32,8,0,,0.84375,0.90625,0.3742322781385281,0,,,,,,,24024.157087500498,39376.82053997995,22.6,904,500,200
Hard,21,18,3,0,,0.7777777777777778,0.8611111111111112,0.3058201058201058,0,,,,,,,24236.94051428382,39147.719899978256,22.61904761904762,475,500,200
Medium,19,14,5,0,,0.9285714285714286,0.9642857142857143,0.462190785405071,0,,,,,,,23788.9754052663,25779.15900999792,22.57894736842105,429,500,200
All questions,40,32,8,0,,0.78125,0.84375,0.36893093885281386,0,,,,,,,46310.297617501055,49131.64267000101,22.6,904,1000,75
Hard,21,18,3,0,,0.7222222222222222,0.8333333333333334,0.39813912938912943,0,,,,,,,46532.01758571612,50909.61459997925,22.61904761904762,475,1000,75
Medium,19,14,5,0,,0.8571428571428571,0.8571428571428571,0.33137755102040817,0,,,,,,,46065.23870526335,48504.464080007165,22.57894736842105,429,1000,75
